name,type,neighborhood,price_tier,quality_score,vibe_tags,local_insight,source_query,address
"Ask Pablo Cocktail Bar + Kitchen","cocktail_bar","downtown","$$","10","cozy|lively|unique","Skip the menu and ask Jordan or Alicia for a cocktail recommendation—they're genuinely knowledgeable and fun, and pair it with the food special.","cocktail bar Kelowna BC","269 Lawrence Ave, Kelowna, BC V1Y 6L2, Canada"
"BTS Cocktail Bar & Kitchen","cocktail_bar","downtown","$$","10","fun|casual|chill","Book ahead for their mixology classes—Shane and Nicole make them interactive and fun, and it's a great icebreaker for a date.","cocktail bar Kelowna BC","889 Vaughan Ave #110, Kelowna, BC V1Y 7E4, Canada"
"The Ricco Room","cocktail_bar","downtown","$$","8","romantic|unique|boujee","Book well ahead for date nights, arrive early to snag the swing seats, and ask Devon to make something with soy sauce if you're adventurous.","cocktail bar Kelowna BC","1630 Shop, 101 Pandosy St, Kelowna, BC V1Y 1P7, Canada"
"Urban Distilleries","cocktail_bar","downtown","$$","9","boujee|lively|unique","Order the Caesar—it's their signature—and try their house-made spirits like the peri peri vodka if you want something beyond standard cocktails.","cocktail bar Kelowna BC","327 Bernard Ave, Kelowna, BC V1Y 6N6, Canada"
"27 Lounge","cocktail_bar","downtown","$$","9","romantic|boujee|intimate","Order one of their specialty cocktails like the Lavender Gin Fizz and ask for a table away from the bar for the full speakeasy experience.","cocktail bar Kelowna BC","1675 Abbott St #8S3, Kelowna, BC V1Y 8S3, Canada"
"Buffalo Rouge Brewing Co.","cocktail_bar","downtown","$$","10","chill|casual|unique","Order the vegan wings and get a beer flight—they make everything in-house and take dietary restrictions seriously.","craft brewery Kelowna BC","1111 Gordon Dr #105, Kelowna, BC V1Y 3E3, Canada"
"Britannia Brewing Co","brewery","lake_country","$$","9","casual|lively|chill","Go on Wednesday for Quiz Night, skip the fish and chips unless it's Tuesday, and try the Blondmosa or the Stout on nitrous.","craft brewery Kelowna BC","8999 Jim Bailey Rd, Kelowna, BC V4V 1S1, Canada"
"Barn Owl Brewing","brewery","lower_mission","$$","10","cozy|casual|unique","Order the Vanilla Chestnut Ale and grab a tasting flight served on a ski if you want the full experience.","craft brewery Kelowna BC","4629 Lakeshore Rd #102, Kelowna, BC V1W 1X3, Canada"
"Unleashed Brewing Company","brewery","downtown","$$","9","casual|lively|fun|chill","Catch a Jam Session night hosted by PJ for live music, and bring your dog if you have one—they're genuinely welcome indoors with dog beds provided.","craft brewery Kelowna BC","880 Clement Ave #207, Kelowna, BC V1Y 0H8, Canada"
"Vice & Virtue Brewing Co.","brewery","downtown","$$","9","romantic|casual|lively","Book the chef's table months ahead for special occasions—Chef Matt's tasting menu with drink pairings is worth the wait.","craft brewery Kelowna BC","1033 Richter St, Kelowna, BC V1Y 2K4, Canada"
"Quails' Gate Winery","winery","west_kelowna","$$","9","romantic|boujee|cozy","Sit on the patio during golden hour to catch the lake and mountain views at their best, and ask your server for Neil or Tory if you want a genuinely knowledgeable tasting experience.","winery Kelowna BC","3303 Boucherie Rd, West Kelowna, BC V1Z 2S5, Canada"
"CedarCreek Estate Winery","winery","lower_mission","$$","9","romantic|boujee|intimate","Arrive early to snag a table with the lake view, and order the cheese platter to pair with their wines—but note parking is tight.","winery Kelowna BC","5445 Lakeshore Rd, Kelowna, BC V1W 4S5, Canada"
"Little Straw Vineyards Family Estate Winery","winery","west_kelowna","$$","10","romantic|chill|intimate","Ask for Jennifer or Mani for your tasting—they'll elevate the experience—and don't skip the ice wine.","winery Kelowna BC","2815 Ourtoland Rd, West Kelowna, BC V1Z 2H7, Canada"
"The Hatch","winery","west_kelowna","$$","9","casual|chill|unique","Ask for Emily, Hanna, or Sarah by name if you can—the staff genuinely makes the experience, and they remember regulars.","winery Kelowna BC","3225 Boucherie Rd, West Kelowna, BC V1Z 2G9, Canada"
"Volcanic Hills Estate Winery","winery","west_kelowna","$$","9","romantic|chill|boujee","Try the red sparkling wine and ask for Sue or Brenda if you want exceptional service—they'll pace the tasting to your preference.","winery Kelowna BC","2845 Boucherie Rd, West Kelowna, BC V1Z 2G6, Canada"
"Butter & Co.","bakery","downtown","$$","10","cozy|boujee|unique","Order the salted dark chocolate espresso cake jar—it's their standout and comes in a beautiful glass jar you can reuse.","bakery Kelowna BC","1571 Pandosy St, Kelowna, BC V1Y 1P5, Canada"
"Bagel Boys","bakery","downtown","$$","10","casual|chill|food_focused","Get the rosemary sea salt bagel with lox—the crispy-outside, soft-inside texture is what people rave about.","bakery Kelowna BC","1481 St Paul St, Kelowna, BC V1Y 6P2, Canada"
"Bread Co.","cafe","downtown","$$","9","chill|casual|cozy","Go early for breakfast sandwiches before they sell out, and grab a patio seat for people-watching on a nice day.","bakery Kelowna BC","363 Bernard Ave, Kelowna, BC V1Y 6N6, Canada"
"Two Donkeys Bakery","bakery","rutland","$$","9","cozy|casual|unique","Get the butter cinnamon roll and grab a seat inside early—it fills up fast with locals.","bakery Kelowna BC","2173 Optic Ct #103, Kelowna, BC V1V 0G5, Canada"
"Sandrine French Pastry & Chocolate Lakeshore - Patisserie & Cafe","bakery","downtown","$$","9","romantic|cozy|boujee","Grab a mille-feuille or éclair and sit on the lakeshore patio on a sunny afternoon—it's the sweet spot before the evening crowd.","dessert shop Kelowna BC","3275 Lakeshore Rd #101, Kelowna, BC V1W 3S9, Canada"
"AMORE MIO Italian artisanal gelato","dessert","downtown","$$","9","cozy|cultural|unique","Ask the Italian owner for a sample of the ricotta orange chip or black currant before deciding—they're generous and these are the standout flavors.","dessert shop Kelowna BC","270 Bernard Ave, Kelowna, BC V1Y 6N4, Canada"
"D Spot Dessert Cafe Kelowna","dessert","downtown","$$","9","cozy|fun|boujee","Get the croffle or Rocher Skillet Cookie, go early for breakfast before the crowds, and budget $30 for two people with tip.","dessert shop Kelowna BC","426 Bernard Ave, Kelowna, BC V1Y 6N7, Canada"
"Crawford Falls","hike","south_east_kelowna","$$","9","adventurous|unique","Wear proper hiking boots and check if the main stairs are open before going; if closed, the off-trail descent is steep and unmanned.","hike Kelowna BC","Southwest Mission, Kelowna, BC V1W 4P1, Canada"
"Mill Creek Regional Park","park","rutland","$$","9","adventurous|casual|fun","Go early on a sunny day to avoid crowds and catch the best light on both the base and top falls.","hike Kelowna BC","6238 Spencer Rd, Kelowna, BC V1X 7T7, Canada"
"Scenic Canyon Regional Park","hike","downtown","$$","10","adventurous|chill|casual","Hit the oven caves early before families arrive, and bring water shoes if you want to explore the creek bed.","hike Kelowna BC","2080 Hollywood Rd S, Kelowna, BC V1X 4P6, Canada"
"Myra-Bellevue Provincial Park - Day Use Area","park","south_east_kelowna","$$","10","adventurous|casual|unique","Start early before the afternoon bike crowds, and rent bikes to cover the trestle bridges and tunnels rather than walking the full 24km.","hike Kelowna BC","Stewart Rd E, Kelowna, BC V1W 5N9, Canada"
"Mission Creek Greenway Regional Park","park","lower_mission","$$","9","chill|casual|intimate","Take the north side path on bikes for a smooth ride, or cross the bridge to the south side for a quieter, more scenic walk.","hike Kelowna BC","South Pandosy - K.L.O., Kelowna, BC V1W 1V3, Canada"
"Boyce-Gyro Beach Park","park","downtown","$$","9","lively|casual|fun","Go early on weekends to snag parking, and hit the beach before 11 AM when it gets packed with families.","beach Kelowna BC","3400 Lakeshore Rd, Kelowna, BC V1W 3S9, Canada"
"Hot Sands Beach","beach","downtown","$$","9","chill|casual|fun","Hit the semi-private bays on the east side if you want fewer crowds, and go mid-week in summer to avoid families with kids.","beach Kelowna BC","Hot Sands Beach, Kelowna, BC V1Y 1B4, Canada"
"Beach Avenue Beach Access","park","downtown","$$","9","chill|casual|fun","Go in the afternoon when the beach is warmest, and bring your own water since there are no washrooms or concessions.","beach Kelowna BC","188 Beach Ave, Kelowna, BC V1Y 5R8, Canada"
"Strathcona Beach Park","park","downtown","$$","9","chill|casual|fun","Go early on weekends to snag parking and avoid the playground crowds, then grab lunch from the café across the street.","beach Kelowna BC","2290 Abbott St, Kelowna, BC V1Y 1E3, Canada"
"Tugboat Beach","beach","downtown","$$","10","chill|casual|romantic","Go in summer for the food cantina, arrive early afternoon to snag a shaded spot, and watch for off-leash dogs despite the ban.","beach Kelowna BC","Tugboat Beach, Kelowna, BC, Canada"
"Viewpoint Drive","activity","downtown","$$","7","romantic|chill|unique","Go at golden hour just before sunset when the light hits the lake perfectly and crowds thin out.","viewpoint Kelowna BC","Viewpoint Dr, Kelowna, BC V1Z, Canada"
"Kelowna City Park","park","downtown","$$","9","chill|casual|romantic","Go at golden hour to catch the bridge and lake views at their best, then grab dinner on Lake Avenue nearby.","park Kelowna BC","1600 Abbott St, Kelowna, BC V1Y 1B7, Canada"
"Waterfront Park","park","downtown","$$","9","romantic|chill|casual","Go in the evening after dinner when it's warm, grab a coffee from one of the waterfront cafes, and walk the harbour paths toward the west Kelowna bridge for views without the crowds.","park Kelowna BC","1200 Water St, Kelowna, BC V1Y 9P4, Canada"
"Mission Creek Regional Park","park","downtown","$$","9","chill|casual|adventurous","Hit the Turtle Pond trail early to spot painted turtles sunbathing and avoid crowds.","park Kelowna BC","2363 Springfield Rd, Kelowna, BC V1X 7N7, Canada"
"Rowcliffe Park","park","downtown","$$","9","chill|casual|fun","Hit the paved loop early morning before families arrive if you want a quieter walk together.","park Kelowna BC","536 Rowcliffe Ave, Kelowna, BC V1Y 2B8, Canada"
"Guisachan Heritage Park","park","downtown","$$","10","romantic|chill|intimate","Go in summer when the gardens are in full bloom and arrive mid-afternoon to avoid crowds while catching good light for photos.","garden Kelowna BC","1060 Cameron Ave, Kelowna, BC V1Y 8V3, Canada"
"Okanagan Garden Centres","shop","downtown","$$","9","casual|chill|unique","Ask for Dave if you want expert advice on what your plants actually need—he's legendary and genuinely cares.","garden Kelowna BC","1945 Kirschner Rd, Kelowna, BC V1Y 4N7, Canada"
"Art Knapp Kelowna","shop","downtown","$$","9","chill|casual|cozy","Go in spring or early summer when the plant selection is fullest, and browse the outdoor sections together to find something you'd both like to take home.","garden Kelowna BC","2550 Benvoulin Rd, Kelowna, BC V1W 2C9, Canada"
"XPERIENCE Games - Exit Escape Room & VR","shop","downtown","$$","10","adventurous|fun|unique","Book Devon as your host if available—he's consistently mentioned as exceptional and makes the experience way better.","escape room Kelowna BC","2323 Hunter Rd #3, Kelowna, BC V1X 7C5, Canada"
"Kelowna Karting Entertainment Centre | VR | Axe Throwing","activity","rutland","$$","9","fun|adventurous|lively","Book ahead for groups and ask staff to organize multiple races back-to-back if you want to maximize track time.","axe throwing Kelowna BC","200 Campion St, Kelowna, BC V1X 7S8, Canada"
"Kelowna Pottery at Studio 108","activity","downtown","$$","10","creative|cozy|unique","Book a couples wheel-throwing class on a weeknight when it's quieter, and ask for Kurtis or Bonnie if you want patient, encouraging instruction.","pottery class Kelowna BC","421 Cawston Ave #108, Kelowna, BC V1Y 6Z1, Canada"
"Work Of Art Pottery Studio","activity","downtown","$$","9","casual|fun|unique|chill","Go on a weekday afternoon to avoid crowds and get more one-on-one time with the staff for tips.","pottery class Kelowna BC","1544 Harvey Ave unit 400, Kelowna, BC V1Y 6K7, Canada"
"Clayline Pottery Studio","shop","downtown","$$","10","chill|cozy|cultural","Book a beginner's wheel class together—Allan and Susan are the instructors locals rave about, and getting messy with clay is a genuinely fun icebreaker.","pottery class Kelowna BC","523 Lawrence Ave, Kelowna, BC V1Y 6L8, Canada"
"Rustic Chalk Decor","shop","downtown","$$","10","cozy|fun|unique","Book the Chunky Blanket Workshop on a weeknight when it's less crowded, and arrive early to claim a good workspace.","paint and sip Kelowna BC","542 Lawrence Ave, Kelowna, BC V1Y 6L8, Canada"
"Studio On Water","gallery","downtown","$$","10","unique|cultural|chill","Go on a weekday afternoon when it's quieter, and ask staff about the featured artist of the month—they love talking about the local creators.","paint and sip Kelowna BC","1302 Water St, Kelowna, BC V1Y 9P4, Canada"
"Wine Country Studios","activity","west_kelowna","$$","10","intimate|cultural|unique","Go in the afternoon when the light hits the vineyard views from the studio best, and ask Louise about her process—she's engaging and makes it feel like a private art experience rather than a class.","paint and sip Kelowna BC","1632 Braeburn Ct, West Kelowna, BC V4T 2V5, Canada"
"Scandia Golf & Games","activity","downtown","$$","8","fun|casual|adventurous","Go in the evening to avoid crowds, and hit the outdoor mini golf first before the arcade gets stuffy.","mini golf Kelowna BC","2898 Hwy 97 N, Kelowna, BC V1X 5C1, Canada"
"Kelowna Driving Range & Mini Golf Powered by Toptracer","shop","lower_mission","$$","8","casual|fun|spontaneous","Ask staff to explain Toptracer before you start so you can save your shot data and compare scores.","mini golf Kelowna BC","3810 Casorso Rd, Kelowna, BC V1W 4M7, Canada"
"McCurdy Bowling Centre","activity","downtown","$$","8","casual|fun|lively","Go on a weekday before 11 PM for the $15/person happy hour special, and order the nachos and margaritas.","bowling Kelowna BC","948 McCurdy Rd, Kelowna, BC V1X 2P7, Canada"
"Okanagan Bowling Club","activity","downtown","$$","9","casual|fun|lively","Book online in advance for weekend evenings to guarantee lane availability, and ask for Katie if you want reliable, attentive service.","bowling Kelowna BC","1835 Gordon Dr, Kelowna, BC V1Y 3H5, Canada"
"Galaxy Zone","activity","downtown","$$","9","fun|casual|lively","The basketball game is genuinely addictive—budget extra tokens for it or you'll regret leaving.","bowling Kelowna BC","1960 Springfield Rd Unit 7, Kelowna, BC V1Y 8T2, Canada"
"Action Grid","activity","downtown","$$","9","fun|lively|adventurous","Book ahead on weekends to avoid wait times, and go in with a group since the per-person cost is fixed regardless of party size.","arcade Kelowna BC","2070 Harvey Ave #13, Kelowna, BC V1Y 8P8, Canada"
"Planet Lazer","activity","downtown","$$","9","fun|lively|casual","Go during off-peak weekday afternoons if you want to book a private laser tag arena without the crowds.","arcade Kelowna BC","1960 Springfield Rd #3, Kelowna, BC V1Y 5V7, Canada"
"Energyplex - Entertainment Centre Kelowna","cocktail_bar","downtown","$$","9","fun|casual|lively","Go in the evening when the arcade is busiest and most games are active; avoid peak family hours (weekends 2-5pm) if you want a more adult vibe.","arcade Kelowna BC","948 McCurdy Rd #130, Kelowna, BC V1X 2P7, Canada"
"Zero Latency VR Kelowna","activity","rutland","$$","10","adventurous|fun|lively","Book Space Marine or the VR Karting combo for the best experience, and arrive exactly on time rather than early since setup happens right at your slot.","VR experience Kelowna BC","200 Campion St, Kelowna, BC V1X 7S8, Canada"
"Virtual Rcades Indoor VR Theme Park & Arcade","activity","rutland","$$","9","fun|casual|adventurous","Book ahead for weekends and ask the owners for personalized station recommendations based on your VR experience level.","VR experience Kelowna BC","1698 Findlay Rd, Kelowna, BC V1X 6B8, Canada"
"Gneiss Climbing - OG BANKS","activity","downtown","$$","10","adventurous|fun|casual","Go early morning on weekdays to avoid crowds and get your pick of routes; grab a coffee at their bar while your date climbs.","rock climbing gym Kelowna BC","430 Banks Rd #101, Kelowna, BC V1X 6A3, Canada"
"Gneiss Climbing - Hill Security","shop","downtown","$$","10","adventurous|casual|fun","Go on a weekday afternoon to avoid crowds, grab a coffee from their shop, and try the easier problems first to build confidence together.","rock climbing gym Kelowna BC","740 Vaughan Ave #101, Kelowna, BC V1Y 7E4, Canada"
"Beyond The Crux Climbing Gym Inc.","activity","downtown","$$","9","adventurous|fun|casual","Go during off-peak weekday afternoons to avoid crowds and get more one-on-one attention from staff.","rock climbing gym Kelowna BC","5, 685 Finns Rd #5, Kelowna, BC V1X 5B7, Canada"
"Kelowna Paddle Centre","activity","downtown","$$","9","adventurous|fun|casual","Book an evening class to catch the sunset over the water while learning—staff are genuinely passionate and make beginners feel comfortable.","kayak rental Kelowna BC","3020 Abbott St, Kelowna, BC V1Y 1G9, Canada"
"LakeSurf Premium Rentals","shop","west_kelowna","$$","9","adventurous|fun|boujee","Book a Supra SL 450 and head south toward Rattlesnake Island for the best views and fewer crowds than downtown Kelowna rentals.","kayak rental Kelowna BC","4205 Gellatly Rd, West Kelowna, BC V4T 2K2, Canada"
"Lakefront Sports Centre Ltd","activity","downtown","$$","8","adventurous|fun|spontaneous","Book with Robert or Alfie specifically if you're a beginner—they're patient instructors—and read all waivers carefully before signing.","kayak rental Kelowna BC","1350B Water St, Kelowna, BC V1Y 9P4, Canada"
"LakeSUP Paddleboard Company","shop","downtown","$$","10","adventurous|casual|fun","Ask Barry or Kellie for beginner board recommendations and local paddle route tips—they'll set you up with gear and insider spots.","paddleboard rental Kelowna BC","1021 Ellis St, Kelowna, BC V1Y 1Z3, Canada"
"chill paddle boarding","activity","west_kelowna","$$","10","chill|adventurous|casual","Call Ron the same day for quick delivery setup—he'll recommend Rotary Beach or Kalamoir for the best beginner-friendly spots.","paddleboard rental Kelowna BC","2475 Dobbin Rd #501, West Kelowna, BC V4T 2E9, Canada"
"S & J Daily Paddleboard Rentals","activity","west_kelowna","$$","10","adventurous|casual|fun","Text Jordan ahead of time to confirm pickup—he's responsive and can arrange convenient times, plus the boards are easy to transport in a regular car.","paddleboard rental Kelowna BC","BC, West Kelowna, BC V1Z 2E6, Canada"
"Inspire trail riding ranch","activity","south_east_kelowna","$$","10","adventurous|casual|fun","Book the Mud Lake trail ride for the best scenery and ask Jordan to pair you with calm horses if either of you is inexperienced.","horseback riding Kelowna BC","4675 June Springs Rd, Kelowna, BC V1W 4C8, Canada"
"Myra Canyon Lodge + Ranch","activity","south_east_kelowna","$$","10","cozy|unique|adventurous","Go on a clear day to maximize the valley views, and plan to interact with the ranch animals—kids and adults both love it.","horseback riding Kelowna BC","4675 June Springs Rd, Kelowna, BC V1W 4C8, Canada"
"Trapalanda Farms Kelowna Horse Riding Lessons","activity","lower_mission","$$","10","adventurous|chill|unique","Book a lesson with Fiona directly—she's selective about her students and worth the wait, and her calm horses are perfect for nervous riders.","horseback riding Kelowna BC","1130 Kamloops Rd, Kelowna, BC V1W 4M9, Canada"
"Kelowna Art Gallery","gallery","downtown","$$","9","cultural|chill|intimate","Go on a Thursday for free entry, or plan a leisurely 45-minute walkthrough without feeling rushed.","art gallery Kelowna BC","1315 Water St, Kelowna, BC V1Y 9R3, Canada"
"Hambleton Galleries","gallery","downtown","$$","10","cultural|chill|unique","Go on a weekday afternoon when it's quieter and the staff has time to chat about the artists and pieces.","art gallery Kelowna BC","1290 Ellis St, Kelowna, BC V1Y 1Z4, Canada"
"Gallery 421","gallery","downtown","$$","9","cultural|intimate|unique","Go on a weekday afternoon when it's quieter and the staff has time to chat about the artists and pieces.","art gallery Kelowna BC","560 Raymer Ave, Kelowna, BC V1Y 4Z5, Canada"
"SOPA FINE ARTS","gallery","downtown","$$","10","cultural|intimate|unique","Ask for Louis or Deborah—they'll give you a personal tour and actually know the stories behind each piece.","art gallery Kelowna BC","2934 Pandosy St, Kelowna, BC V1Y 1V9, Canada"
"Okanagan Heritage Museum","activity","downtown","$$","9","cultural|chill|unique","Go for the Indigenous Syilx exhibits and taxidermy animals, but budget 45 minutes max and arrive early to snag free street parking on nearby residential blocks.","museum Kelowna BC","470 Queensway, Kelowna, BC V1Y 6S7, Canada"
"KF Centre for Excellence","activity","rutland","$$","10","casual|fun|unique","Go upstairs to the large run-around space if you want to explore beyond the cockpit simulator and vintage aircraft displays.","museum Kelowna BC","5800 Lapointe Dr, Kelowna, BC V1V 1S1, Canada"
"Okanagan Military Museum","activity","downtown","$$","9","cultural|casual|unique","Try on the vintage uniforms for photos—it's interactive and gives you something fun to do together beyond just looking at displays.","museum Kelowna BC","1424 Ellis St, Kelowna, BC V1Y 2A5, Canada"
"Kelowna Community Theatre","activity","downtown","$$","9","cultural|intimate|lively","Arrive early to grab a drink at the bar before the show starts and snag seats with a clear sightline to the stage.","live theater Kelowna BC","1375 Water St, Kelowna, BC V1Y 0B4, Canada"
"Mary Irwin Theatre","activity","downtown","$$","10","cultural|intimate|cozy","Grab free parking in the Library parkade after 5pm, then hit the cafe by the door before the show starts.","live theater Kelowna BC","421 Cawston Ave, Kelowna, BC V1Y 6Z1, Canada"
"Black Box Theatre","activity","downtown","$$","9","cultural|intimate|lively","Book ahead—shows sell out—and arrive early to find the alley entrance behind the main theatre building.","live theater Kelowna BC","1375 Water St, Kelowna, BC V1Y 9P4, Canada"
"Kelowna Comedy","activity","downtown","$$","9","lively|fun|casual","Hit up the free Thursday night shows to catch local comedians and save money on a date night.","comedy club Kelowna BC","1574 Harvey Ave, Kelowna, BC V1Y 6K7, Canada"
"Dakoda's Sports Bar & Grill / Dakoda's Pub","cocktail_bar","downtown","$","9","casual|lively|fun","Catch a comedy night for guaranteed laughs, and order the Dakoda Burger or Winter Ale—skip the beef dip.","karaoke Kelowna BC","Upstairs, 1574 Harvey Ave, Kelowna, BC V1Y 6K7, Canada"
"O'Flannigan's Pub","cocktail_bar","downtown","$$","8","lively|casual|fun","Go on a night with live music and order the crispy chicken—skip the burgers.","karaoke Kelowna BC","319 Queensway, Kelowna, BC V1Y 8E6, Canada"
"Unicorn Lounge Inc.","cocktail_bar","downtown","$$","9","lively|fun|unique|cultural","Go on a weekend for the drag shows and brunch, and use the app to order and pay at your table to skip the bar line.","karaoke Kelowna BC","315 Lawrence Ave, Kelowna, BC V1Y 9W5, Canada"
"THE LUXE SPA","activity","downtown","$$","10","chill|boujee|intimate","Book the Royal Premium Head Spa with the sound bath add-on and arrive early to sample their oil scents—it's a personalized touch that sets the tone.","spa Kelowna BC","2655 Pandosy St, Kelowna, BC V1Y 9V9, Canada"
"The Wellness Spa","activity","downtown","$$","9","romantic|cozy|intimate","Book with Pippa or Elaine specifically—they're the standout therapists who make clients feel genuinely comfortable and cared for.","spa Kelowna BC","2402 Hwy 97 N, Kelowna, BC V1X 4H8, Canada"
"Room and Pillar Spa","activity","downtown","$$","10","romantic|chill|boujee","Book with Lanny or Lou if you want personalized skincare advice; the salt cave is perfect for couples massages back-to-back.","spa Kelowna BC","1546 Harvey Ave Unit 100, Kelowna, BC V1Y 6K7, Canada"
"Bellevue Day Spa","activity","lower_mission","$$","10","romantic|boujee|intimate","Book with Cinthia specifically—she's the owner and staff favorite, and ask about pairing a massage with a facial for the full experience.","spa Kelowna BC","4639 Lakeshore Rd #103, Kelowna, BC V1W 1X3, Canada"
"Lakehouse Kitchens","cafe","downtown","$$","10","unique|cultural|adventurous","Book the Tuscany or vegan chef's theatre classes for the full experience—you'll leave with actual cooking skills and paired wines, not just a meal.","cooking class Kelowna BC","510 Bernard Ave #200, Kelowna, BC V1Y 6P1, Canada"
"Little Kitchen Academy Kelowna","activity","downtown","$$","9","fun|casual|unique","Book the weekend baking classes early—they fill up fast and kids leave with actual edible creations to take home.","cooking class Kelowna BC","1876 Cooper Rd #138, Kelowna, BC V1Y 9N6, Canada"
"The Okanagan Table - kitchen, events, catering","restaurant","downtown","$$","9","romantic|boujee|intimate","Book their private dining experience or cooking class with Chef Rod or Kelsey for a memorable interactive date.","cooking class Kelowna BC","1571 Pandosy St, Kelowna, BC V1Y 1P5, Canada"
"Okanagan Spirits Craft Distillery Kelowna","winery","downtown","$$","10","casual|fun|chill","Book a guided tasting with Derek or Wyatt if they're available—staff knowledge makes the experience.","distillery Kelowna BC","267 Bernard Ave, Kelowna, BC V1Y 6N2, Canada"
"Upside Cidery","winery","rutland","$$","9","chill|casual|unique","Order the Earl Grey or Kingston Black cider and try their seasonal flavours—they rotate regularly and are the standout.","cidery Kelowna BC","2555 Gale Rd, Kelowna, BC V1V 2K2, Canada"
"Scenic Road Cider Co.","cocktail_bar","rutland","$$","10","chill|casual|unique","Go for a guided tasting with Jenny or Fred if they're working—they make the experience; bring a picnic blanket for the outdoor area.","cidery Kelowna BC","772 Packinghouse Rd, Kelowna, BC V1V 2E1, Canada"
"Okanagan Lavender & Herb Farm","activity","lower_mission","$$","9","chill|romantic|unique","Book the garden tour with Jean if available—she's knowledgeable and makes the experience special.","lavender farm Kelowna BC","4380 Takla Rd, Kelowna, BC V1W 3C4, Canada"
"Indigo Ridge Lavender Farm","activity","downtown","$$","10","romantic|chill|unique","Go mid-morning in peak bloom season (June-July) when the fields are most fragrant and before afternoon heat sets in.","lavender farm Kelowna BC","Dickson Ave, Kelowna, BC V1Y 9J7, Canada"
"Rose Hill Orchard","cocktail_bar","lake_country","$$","9","chill|casual|unique","Go during peak fruit season (June-September) when you can actually pick cherries and apricots together, then grab cider at the cidery to cap it off.","fruit picking Kelowna BC","11911 Okanagan Centre Rd E, Lake Country, BC V4V 1G3, Canada"
"Hayat Orchard","activity","lake_country","$$","10","casual|fun|romantic","Go early in the season (late June for cherries, August for peaches) when fruit is ripest, and grab the butter chicken from their shop after picking.","fruit picking Kelowna BC","11938 Oceola Rd, Lake Country, BC V4V 1H1, Canada"
"Westbank Harvest","restaurant","west_kelowna","$$","9","casual|adventurous|fun","Go in late morning when it's less busy and the fruit selection is freshest, especially if you want the peaches near the back.","fruit picking Kelowna BC","2654 Scharf Rd, West Kelowna, BC V4T 1M1, Canada"
"Kelowna Farmers' and Crafters' Market","market","downtown","$$","9","lively|casual|fun","Go Saturday morning for the bigger market and grab farm-fresh berries before they sell out, then hit a food truck for lunch.","farmers market Kelowna BC","1631 Dickson Ave, Kelowna, BC V1Y 0B5, Canada"
"Leroy's Street Eats","restaurant","downtown","$$","10","casual|fun|chill","Order the pulled pork grilled cheese and perogie poutine—they're the standout items that keep people coming back.","food truck Kelowna BC","OK Corral, 1978 Kirschner Rd, Kelowna, BC V1Y 5N7, Canada"
